產品編號,品牌,種類,產品名稱,產品系列,簡稱
PD000000165,Bort,Knee,"Bort #114700 Asymmetric (Left) ""L""",Bort #114700 Asymmetric (Left),"Bort #114700 Asymmetric (Left) ""L"""
PD000000166,Bort,Knee,"Bort #114700 Asymmetric (Right) ""S""",Bort #114700 Asymmetric (Right),"Bort #114700 Asymmetric (Right) ""S"""
PD000000167,Bort,Knee,"Bort #114700 Asymmetric (Right) ""M""",Bort #114700 Asymmetric (Right),"Bort #114700 Asymmetric (Right) ""M"""
PD000000168,Bort,Knee,"Bort #114700 Asymmetric (Right) ""L""",Bort #114700 Asymmetric (Right),"Bort #114700 Asymmetric (Right) ""L"""
PD000000169,Bort,Knee,"Bort #114480 Stabilo Knee Brace Open Style ""M""",Bort #114480 Stabilo Knee Brace Open Style,"Bort #114480 Stabilo Knee Brace Open Style ""M"""
PD000000170,Bort,Knee,"Bort #114480 Stabilo Knee Brace Open Style ""L""",Bort #114480 Stabilo Knee Brace Open Style,"Bort #114480 Stabilo Knee Brace Open Style ""L"""
PD000000171,Bort,Knee,"Bort #114010 Patella Tendon Strap "" 1 """,Bort #114010 Patella Tendon Strap,"Bort #114010 Patella Tendon Strap "" 1 """
PD000000172,Bort,Knee,"Bort #114010 Patella Tendon Strap "" 2 """,Bort #114010 Patella Tendon Strap,"Bort #114010 Patella Tendon Strap "" 2 """
PD000000173,Bort,Knee,"Bort #114010 Patella Tendon Strap "" 3 """,Bort #114010 Patella Tendon Strap,"Bort #114010 Patella Tendon Strap "" 3 """
PD000000174,Bort,Ankle,"Bort #054700 Ankle Support w/Silicone Pads (L)""S""",Bort #054700 Ankle Support w/Silicone Pads (L),"Bort #054700 Ankle Support w/Silicone Pads (L)""S"""
PD000000175,Bort,Ankle,"Bort #054700 Ankle Support w/Silicone Pads (L)""M""",Bort #054700 Ankle Support w/Silicone Pads (L),"Bort #054700 Ankle Support w/Silicone Pads (L)""M"""
PD000000176,Bort,Ankle,"Bort #054700 Ankle Support w/Silicone Pads (L)""L""",Bort #054700 Ankle Support w/Silicone Pads (L),"Bort #054700 Ankle Support w/Silicone Pads (L)""L"""
PD000000177,Bort,Ankle,"Bort #054700 Ankle Support w/Silicone Pads (R)""S""",Bort #054700 Ankle Support w/Silicone Pads,"Bort #054700 Ankle Support w/Silicone Pads (R)""S"""
PD000000178,Bort,Ankle,"Bort #054700 Ankle Support w/Silicone Pads (R)""M""",Bort #054700 Ankle Support w/Silicone Pads,"Bort #054700 Ankle Support w/Silicone Pads (R)""M"""
PD000000179,Bort,Ankle,"Bort #054700 Ankle Support w/Silicone Pads (R)""L""",Bort #054700 Ankle Support w/Silicone Pads,"Bort #054700 Ankle Support w/Silicone Pads (R)""L"""
